               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*              CH3_Pt*                   O*                O_Pt*                  CO*               CO_Pt*              CH2_Pt*               CH_Pt*                C_Pt*               OH_Pt*              H2O_Pt*              CO2_Pt*             COOH_Pt*              CHO_Pt*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                  51              5000000         1.0954838065551907E-01         1.0000000000000000E+03         1.8721200000181855E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   43                    9                   55                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  52              5100000         1.2038634136867485E-01         1.0000000000000000E+03         1.8638000000181847E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   42                   11                   54                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  53              5200000         1.3870513128075956E-01         1.0000000000000000E+03         1.8459800000181824E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   43                   10                   54                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  54              5300000         1.5511640494650270E-01         1.0000000000000000E+03         1.8572800000181857E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   38                   19                   50                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  55              5400000         1.7031907565207705E-01         1.0000000000000000E+03         1.8631400000181844E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   43                   10                   54                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  56              5500000         1.7889061017180599E-01         1.0000000000000000E+03         1.8594800000181837E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   44                    7                   56                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  57              5600000         1.8602545327124614E-01         1.0000000000000000E+03         1.8896900000181859E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   41                   11                   55                    0                    0                    0                 -120                   -2                    4                  193                    0                    0
                  58              5700000         1.9831510316429204E-01         1.0000000000000000E+03         1.8754800000181842E+02                   0                    0                    0                    0                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                   42                    9                   56                    0                    0                    0                 -120                   -2                    4                  193                    0                    0
                  59              5800000         2.1255177017849333E-01         1.0000000000000000E+03         1.8828400000181855E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   41                   11                   55                    0                    0                    0                 -120                   -2                    4                  193                    0                    0
                  60              5900000         2.3211659529169076E-01         1.0000000000000000E+03         1.8868900000181858E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   41                   11                   55                    0                    0                    0                 -120                   -2                    4                  193                    0                    0
